"biosphere","id","river","site","weather","other_weather","start_comment","dissolved_oxygen_ppm","dissolved_oxygen_percent","time","nitrate","phosphate","salinity_ppt","salinity_percent","tds","electrical_conductivity","ph","irrigation_suitability","air_temperature","latitude","longitude","altitude_m","location_accuracy_m","datetime","date","flag_ph","flag_do_ppm","flag_do_percent","flag_ec","flag_temp","any_flag"
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","sunny","","",NA,120.43,"06/25/2024 10:30",NA,NA,NA,NA,NA,115.3,8.39,"pH reading indicates the water is suitable for irrigation",18.8,-24.2587333,30.4537717,625.5,5,2024-06-25 10:30:00,2024-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 2","Levubu River","Halambani site 2","sunny","","Just a normal day",0.63,8.7,"05/16/2024 13:34",NA,NA,NA,NA,NA,86.1,7.83,"pH reading indicates the water is suitable for irrigation",22.5,-22.7274652,30.8853118,421.1,4.933,2024-05-16 13:34:00,2024-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 2","Marakalala","Site 2","sunny","","",NA,NA,"05/16/2024 18:37",NA,NA,NA,NA,NA,460,7.45,"pH reading indicates the water is suitable for irrigation",19.1,-24.5267083,30.71954,825.5,4.8,2024-05-16 18:37:00,2024-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Lambani site 2 No site name given","Lambani site 2","No site name given","sunny","","Just Normal day",0.63,8.7,"05/16/2024 13:28",NA,NA,NA,NA,NA,86.1,7.83,"pH reading indicates the water is suitable for irrigation",22.5,-22.7274566,30.8853631,432.7,4.55,2024-05-16 13:28:00,2024-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","sunny","","",1.71,20.3,"05/17/2024 09:31",NA,NA,NA,NA,NA,152.8,7.93,"pH reading indicates the water is suitable for irrigation",20.4,-22.9716285,30.6034577,488.9,4.82,2024-05-17 09:31:00,2024-05-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","sunny","","",1.71,20.3,"05/17/2024 09:31",NA,NA,NA,NA,NA,152.8,7.93,"pH reading indicates the water is suitable for irrigation",20.4,-22.97173389,30.60339581,480.5162826,4.9,2024-05-17 09:31:00,2024-05-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","",0.45,6.2,"05/20/2024 11:00",NA,NA,NA,NA,NA,124.6,7.76,"pH reading indicates the water is suitable for irrigation",21,-22.7454815,30.8844887,431.9,4.7,2024-05-20 11:00:00,2024-05-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","Sun rise",0.45,6.2,"05/20/2024 11:11",NA,NA,NA,NA,NA,124.6,7.76,"pH reading indicates the water is suitable for irrigation",21,-22.7454559,30.8844413,430.5,4.825,2024-05-20 11:11:00,2024-05-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Ha lambani site 2","Levubu River","Ha lambani site 2","sunny","","Just normal day",0.63,8.7,"05/16/2024 13:37",NA,NA,NA,NA,NA,86.1,7.83,"pH reading indicates the water is suitable for irrigation",22.5,-22.7274349,30.885385,433.1,3.9,2024-05-16 13:37:00,2024-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","sunny","","Just normal sunny day",0.45,6.2,"05/20/2024 10:58",NA,NA,NA,NA,NA,124.6,7.76,"pH reading indicates the water is suitable for irrigation",21,-22.7454892,30.8844882,429.3,5,2024-05-20 10:58:00,2024-05-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","cloudy","","",NA,224.3,"05/21/2024 08:29",NA,NA,NA,NA,NA,50.4,7.89,"pH reading indicates the water is suitable for irrigation",21.2,-24.2587367,30.4538933,617.000061,4.8,2024-05-21 08:29:00,2024-05-21,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Moetladimo Moe Alt 2","Moetladimo","Moe Alt 2","cloudy","","",NA,187,"05/21/2024 09:24",NA,NA,NA,NA,NA,56.7,8.27,"pH reading indicates the water is suitable for irrigation",20.9,-24.25154,30.4518583,604.1000366,4.9,2024-05-21 09:24:00,2024-05-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe Alt 2","Moetladimo","Moe Alt 2","cloudy","","",NA,175.7,"05/21/2024 09:48",NA,NA,NA,NA,NA,63.8,8.12,"pH reading indicates the water is suitable for irrigation",21.3,-24.247255,30.4552917,609.3,4.4,2024-05-21 09:48:00,2024-05-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma2","Levubu River","Tshakhuma2","cloudy","","",0.59,6.9,"05/21/2024 09:44",NA,NA,NA,NA,NA,99.3,7.98,"pH reading indicates the water is suitable for irrigation",20.5,-23.0529199,30.296566,669.7144775,4.013,2024-05-21 09:44:00,2024-05-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 1","Levubu River","Mulenzhe site 1","partly_cloudy","","",1.52,17.6,"05/21/2024 10:09",NA,NA,NA,NA,NA,148.2,7.8,"pH reading indicates the water is suitable for irrigation",20.9,-22.971181,30.6038121,484.7,4.54,2024-05-21 10:09:00,2024-05-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Marico BR","Groot Marico River Mukhajadi","Groot Marico River","Mukhajadi","sunny","","Tree branches on stream",87.2,17.4,"05/22/2024 09:50",NA,NA,NA,NA,NA,26,7.9,"pH reading indicates the water is suitable for irrigation",17.4,-25.6289371,26.4103291,1142.875672,4.9,2024-05-22 09:50:00,2024-05-22,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Marico BR","Groot Marico River Boss Upstream","Groot Marico River","Boss Upstream","sunny","","No rain for the past few weeks",7.09,17.3,"05/22/2024 10:04",NA,NA,NA,NA,NA,250,8.01,"pH reading indicates the water is suitable for irrigation",16.7,-25.6292688,26.4103021,1148,4.7,2024-05-22 10:04:00,2024-05-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","",0.15,2.1,"05/22/2024 11:19",NA,NA,NA,NA,NA,130,7.54,"pH reading indicates the water is suitable for irrigation",20.5,-22.7453653,30.8845072,416,4.86,2024-05-22 11:19:00,2024-05-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","sunny","","",0.15,2.1,"05/22/2024 10:11",NA,NA,NA,NA,NA,130,7.54,"pH reading indicates the water is suitable for irrigation",20.5,-22.7455155,30.8846166,382.1,4.966,2024-05-22 10:11:00,2024-05-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","sunny","","",0.15,2.7,"05/22/2024 10:19",NA,NA,NA,NA,NA,130,7.54,"pH reading indicates the water is suitable for irrigation",20.5,-22.7454655,30.8845337,426.4,3.9,2024-05-22 10:19:00,2024-05-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma1","Levubu River","Tshakhuma1","sunny","","",1.05,12.5,"05/23/2024 09:56",NA,NA,NA,NA,NA,109.4,7.91,"pH reading indicates the water is suitable for irrigation",21.4,-23.0540727,30.2970131,663.7895508,3.79,2024-05-23 09:56:00,2024-05-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","sunny","","",NA,155.8,"05/23/2024 08:44",NA,NA,NA,NA,NA,237,8.56,"pH reading indicates the water is NOT suitable for irrigation",19.4,-24.3620117,30.65863,511.1000061,5,2024-05-23 08:44:00,2024-05-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","partly_cloudy","","The area is used for grazing livestock and Agriculture activities.",50,18.8,"05/23/2024 10:42",NA,NA,NA,NA,NA,230,6.99,"pH reading indicates the water is suitable for irrigation",21.5,-24.5228056,30.70726724,849.745008,4.9,2024-05-23 10:42:00,2024-05-23,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Marakalala Site 2","Marakalala","Site 2","sunny","","",62.4,19.2,"05/23/2024 11:49",NA,NA,NA,NA,NA,427,7.61,"pH reading indicates the water is suitable for irrigation",20.6,-24.52662905,30.71943829,821.4453414,4.9,2024-05-23 11:49:00,2024-05-23,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Marico BR","Kaaloog se Loop Komkrans","Kaaloog se Loop","Komkrans","sunny","","",8.9,12.5,"05/25/2024 14:55",NA,NA,NA,NA,NA,2.5,8.6,"pH reading indicates the water is NOT suitable for irrigation",12.4,-25.7759054,26.4386659,1352.3,5,2024-05-25 14:55:00,2024-05-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","partly_cloudy","","",NA,159.6,"05/28/2024 08:39",NA,NA,NA,NA,NA,50.2,7.81,"pH reading indicates the water is suitable for irrigation",20.4,-24.25872,30.4538567,610.9,3.9,2024-05-28 08:39:00,2024-05-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","cloudy","","",1.74,19.2,"05/28/2024 09:33",NA,NA,NA,NA,NA,155.7,7.8,"pH reading indicates the water is suitable for irrigation",20.3,-22.971691,30.6033974,476.4,4.26,2024-05-28 09:33:00,2024-05-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Tshakhuma2 Tshakhuma2","Tshakhuma2","Tshakhuma2","partly_cloudy","","",0.29,3.4,"05/28/2024 10:00",NA,NA,NA,NA,NA,92.2,8.6,"pH reading indicates the water is NOT suitable for irrigation",20,-23.0529668,30.2965295,669.6248779,4.912,2024-05-28 10:00:00,2024-05-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe Alt 2","Moetladimo","Moe Alt 2","partly_cloudy","","",NA,144,"05/28/2024 10:07",NA,NA,NA,NA,NA,59.1,8.74,"pH reading indicates the water is NOT suitable for irrigation",21.1,-24.2518583,30.4517767,584.1,4.2,2024-05-28 10:07:00,2024-05-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","sunny","","",NA,125,"05/30/2024 08:36",NA,NA,NA,NA,NA,513,8.21,"pH reading indicates the water is suitable for irrigation",16.5,-24.3619793,30.6586495,464.9,4.7,2024-05-30 08:36:00,2024-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Tshakhuma01 Tshakhuma001","Tshakhuma01","Tshakhuma001","sunny","","",0.26,3.4,"05/30/2024 10:00",NA,NA,NA,NA,NA,240,7.97,"pH reading indicates the water is suitable for irrigation",20.3,-23.0540925,30.2969917,672.8500977,6.921,2024-05-30 10:00:00,2024-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","sunny","","",0.78,9.9,"05/30/2024 10:27",NA,NA,NA,NA,NA,92.8,7.73,"pH reading indicates the water is suitable for irrigation",17.5,-22.72741,30.8853267,427.6,3.9,2024-05-30 10:27:00,2024-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 3","Marakalala","Site 3","sunny","","",34.6,NA,"05/30/2024 10:29",NA,NA,NA,NA,NA,428,7.61,"pH reading indicates the water is suitable for irrigation",18.1,-24.52655615,30.71957822,836.744691,4.9,2024-05-30 10:29:00,2024-05-30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","sunny","","",33,22.2,"05/30/2024 11:34",NA,NA,NA,NA,NA,217,6.92,"pH reading indicates the water is suitable for irrigation",22.6,-24.52282389,30.70728008,836.5151216,4.9,2024-05-30 11:34:00,2024-05-30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Vhembe BR","Levubu River Mulenzhe Site 1","Levubu River","Mulenzhe Site 1","partly_cloudy","","Water flow was slow today.",1.52,17.6,"05/21/2024 09:37",NA,NA,NA,NA,NA,148.2,7.8,"pH reading indicates the water is suitable for irrigation",20.9,-22.97120819,30.60365805,508.3839111,6.906936,2024-05-21 09:37:00,2024-05-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe Site 1","Levubu River","Mulenzhe Site 1","sunny","","",1.83,20.6,"05/30/2024 12:05",NA,NA,NA,NA,NA,149.2,8.01,"pH reading indicates the water is suitable for irrigation",20.4,-22.9711882,30.6037807,456.4,4.76,2024-05-30 12:05:00,2024-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 1","Levubu River","Mulenzhe site 1","sunny","","Water level keep decreasing",1.83,20.6,"05/30/2024 12:05",NA,NA,NA,NA,NA,149.2,8.01,"pH reading indicates the water is suitable for irrigation",20.4,-22.97122304,30.6038085,482.4838257,4.4899774,2024-05-30 12:05:00,2024-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 02","Levubu River","Lambani site 02","sunny","","",0.78,9.9,"05/30/2024 10:27",NA,NA,NA,NA,NA,92.8,7.73,"pH reading indicates the water is suitable for irrigation",17.5,-22.7274257,30.8854046,418.4,4.6,2024-05-30 10:27:00,2024-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","sunny","","",0.78,9.9,"05/30/2024 10:27",NA,NA,NA,NA,NA,92.8,7.73,"pH reading indicates the water is suitable for irrigation",17.5,-22.7275395,30.8851272,440.3,4.95,2024-05-30 10:27:00,2024-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","sunny","","",2.51,31.4,"05/31/2024 09:07",NA,NA,NA,NA,NA,86.9,7.59,"pH reading indicates the water is suitable for irrigation",16,-22.7276152,30.8852476,411.9,4.72,2024-05-31 09:07:00,2024-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","sunny","","",2.51,31.4,"05/31/2024 09:06",NA,NA,NA,NA,NA,68.9,7.59,"pH reading indicates the water is suitable for irrigation",16,-22.727588,30.8852914,434.7,4.333,2024-05-31 09:06:00,2024-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 01","Levubu River","Lambani site 01","partly_cloudy","","",2.8,38.3,"06/03/2024 10:14",NA,NA,NA,NA,NA,107.6,7.7,"pH reading indicates the water is suitable for irrigation",19.6,-22.7454178,30.884564,347.6,4.5,2024-06-03 10:14:00,2024-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","sunny","","",2.8,38.3,"06/03/2024 10:30",NA,NA,NA,NA,NA,107.6,7.7,"pH reading indicates the water is suitable for irrigation",19.6,-22.7454853,30.884492,421.1,4.833,2024-06-03 10:30:00,2024-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","sunny","","",18.2,20.7,"06/04/2024 10:14",NA,NA,NA,NA,NA,149.9,8.27,"pH reading indicates the water is suitable for irrigation",19.7,-22.9717023,30.603452,490.1,4.291,2024-06-04 10:14:00,2024-06-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 2","Kubjaname","Site 2","sunny","","",NA,108.5,"06/05/2024 09:01",NA,NA,NA,NA,NA,233,7.55,"pH reading indicates the water is suitable for irrigation",16,-24.303565,30.5047417,594.5,4.4,2024-06-05 09:01:00,2024-06-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 1","Kubjaname","Site 1","sunny","","",NA,116,"06/05/2024 09:19",NA,NA,NA,NA,NA,236,7.77,"pH reading indicates the water is suitable for irrigation",14.4,-24.3044373,30.5049213,616.4,4.875,2024-06-05 09:19:00,2024-06-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","sunny","","",NA,NA,"06/05/2024 08:58",NA,NA,NA,NA,NA,324,8.13,"pH reading indicates the water is suitable for irrigation",14.9,-24.5406289,30.69545286,858.2304491,4.9,2024-06-05 08:58:00,2024-06-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","sunny","","",NA,118,"06/05/2024 09:56",NA,NA,NA,NA,NA,255,7.52,"pH reading indicates the water is suitable for irrigation",15.2,-24.30224,30.5052333,621.4,4.4,2024-06-05 09:56:00,2024-06-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 2","Mohlatsengwana","Site 2","sunny","","",NA,NA,"06/05/2024 10:08",NA,NA,NA,NA,NA,324,8.19,"pH reading indicates the water is suitable for irrigation",14.9,-24.53955627,30.68933443,859.404357,4.9,2024-06-05 10:08:00,2024-06-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 3","Marakalala","Site 3","sunny","","",6.2,16,"06/06/2024 10:14",NA,NA,NA,NA,NA,433,7.72,"pH reading indicates the water is suitable for irrigation",15.8,-24.52659242,30.71937392,832.806997,4.9,2024-06-06 10:14:00,2024-06-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Treur River Site 1","Treur River","Site 1","sunny","","",10.9,NA,"06/06/2024 10:31",NA,NA,NA,NA,NA,47,7.56,"pH reading indicates the water is suitable for irrigation",16,-24.6752639,30.8116241,1123.1,4.55,2024-06-06 10:31:00,2024-06-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","sunny","","",11,19,"06/06/2024 11:36",NA,NA,NA,NA,NA,240,6.99,"pH reading indicates the water is suitable for irrigation",18.6,-24.52289971,30.70725543,858.0519152,4.9,2024-06-06 11:36:00,2024-06-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","sunny","","",11,17.6,"06/06/2024 11:40",NA,NA,NA,NA,NA,240,6.99,"pH reading indicates the water is suitable for irrigation",18,-24.52289971,30.70725543,858.0519152,4.9,2024-06-06 11:40:00,2024-06-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 1","Klaserie","Site 1","light_rain","","",6.78,NA,"06/03/2024 09:17",NA,NA,NA,NA,NA,61.5,8.76,"pH reading indicates the water is NOT suitable for irrigation",16,-24.6059787,30.9703456,662.9,4.36,2024-06-03 09:17:00,2024-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 2","Klaserie","Site 2","light_rain","","",7.35,NA,"06/03/2024 09:44",NA,NA,NA,NA,NA,61,8.45,"pH reading indicates the water is suitable for irrigation",16.6,-24.604459,30.9729729,658.6,4.18,2024-06-03 09:44:00,2024-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 3","Klaserie","Site 3","cloudy","","",7.63,NA,"06/03/2024 10:19",NA,NA,NA,NA,NA,59.9,8.34,"pH reading indicates the water is suitable for irrigation",16.7,-24.6044687,30.9753183,666.3,2.883,2024-06-03 10:19:00,2024-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 3","Klaserie","Site 3","sunny","","",8.9,12.3,"06/10/2024 10:29",NA,NA,NA,NA,NA,62,0,"pH reading indicates the water is NOT suitable for irrigation",13.4,-24.604428,30.9753813,672.8,2.94,2024-06-10 10:29:00,2024-06-10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Klaserie Site 3","Klaserie","Site 3","sunny","","We found community members doing laundry at this area",NA,NA,"06/10/2024 12:35",NA,NA,NA,NA,NA,59,NA,"pH reading indicates the water is NOT suitable for irrigation",17.3,-24.6045158,30.9754459,556,4.347,2024-06-10 12:35:00,2024-06-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 3","Klaserie","Site 3","partly_cloudy","","",0,0,"06/10/2024 12:37",NA,NA,NA,NA,NA,66.7,0,"pH reading indicates the water is NOT suitable for irrigation",15.4,-24.6044384,30.9754565,674.1,4.64,2024-06-10 12:37:00,2024-06-10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","partly_cloudy","","",3.27,42.7,"06/10/2024 13:26",NA,NA,NA,NA,NA,106.1,7.83,"pH reading indicates the water is suitable for irrigation",17.7,-22.7276138,30.8852226,400.4,4.1,2024-06-10 13:26:00,2024-06-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","partly_cloudy","","",3.27,42.7,"06/10/2024 13:20",NA,NA,NA,NA,NA,103.1,7.83,"pH reading indicates the water is suitable for irrigation",17.7,-22.7274984,30.8853102,426.2,4.825,2024-06-10 13:20:00,2024-06-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 01","Levubu River","Lambani site 01","sunny","","",2.8,38.3,"06/03/2024 11:14",NA,NA,NA,NA,NA,107.6,7.7,"pH reading indicates the water is suitable for irrigation",19.6,-22.7454207,30.8842329,412.4,4.75,2024-06-03 11:14:00,2024-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","partly_cloudy","","",43.27,42.7,"06/10/2024 13:29",NA,NA,NA,NA,NA,103.1,7.83,"pH reading indicates the water is suitable for irrigation",71.7,-22.7275047,30.8853186,429.2,4.933,2024-06-10 13:29:00,2024-06-10,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Kruger 2 Canyons BR","Moetladimo Moe001 US","Moetladimo","Moe001 US","sunny","","",NA,111.7,"06/11/2024 08:17",NA,NA,NA,NA,NA,122.7,7.58,"pH reading indicates the water is suitable for irrigation",14.8,-24.2663246,30.4492869,592.3,4.6,2024-06-11 08:17:00,2024-06-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","sunny","","",NA,101.7,"06/11/2024 09:37",NA,NA,NA,NA,NA,109.9,7.96,"pH reading indicates the water is suitable for irrigation",17.1,-24.2588117,30.4539167,616.9000244,4.6,2024-06-11 09:37:00,2024-06-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 1","Levubu River","Mulenzhe site 1","partly_cloudy","","",1.43,17.4,"06/11/2024 10:13",NA,NA,NA,NA,NA,151.8,8.08,"pH reading indicates the water is suitable for irrigation",18.3,-22.97120831,30.60379049,527.2793904,4.9,2024-06-11 10:13:00,2024-06-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 1","Levubu River","Mulenzhe site 1","partly_cloudy","","",1.43,17.4,"06/11/2024 10:13",NA,NA,NA,NA,NA,151.8,8.08,"pH reading indicates the water is suitable for irrigation",18.3,-22.9711515,30.603824,489.9,3.8,2024-06-11 10:13:00,2024-06-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe Alt 2","Moetladimo","Moe Alt 2","sunny","","",NA,92.4,"06/11/2024 10:13",NA,NA,NA,NA,NA,149.7,8.34,"pH reading indicates the water is suitable for irrigation",15.7,-24.2518442,30.4517079,582.7,3.9,2024-06-11 10:13:00,2024-06-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma1","Levubu River","Tshakhuma1","sunny","","",7.67,7.5,"06/12/2024 10:25",NA,NA,NA,NA,NA,271,7.75,"pH reading indicates the water is suitable for irrigation",19,-23.0541793,30.2969597,660.3776855,4.336,2024-06-12 10:25:00,2024-06-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 1","Kubjaname","Site 1","sunny","","",NA,98,"06/12/2024 09:51",NA,NA,NA,NA,NA,253,7.82,"pH reading indicates the water is suitable for irrigation",15.7,-24.3043814,30.5049473,624.1,4.75,2024-06-12 09:51:00,2024-06-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","sunny","","",NA,101.7,"06/12/2024 10:30",NA,NA,NA,NA,NA,266,7.66,"pH reading indicates the water is suitable for irrigation",16.6,-24.30227,30.5052417,613.9,3.9,2024-06-12 10:30:00,2024-06-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Kub001 US","Kubjaname","Kub001 US","sunny","","",NA,101.7,"06/12/2024 07:56",NA,NA,NA,NA,NA,107.9,7.35,"pH reading indicates the water is suitable for irrigation",14.9,-24.3229007,30.4862019,721.8,4.5,2024-06-12 07:56:00,2024-06-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Lambani site 2 Lambani site 2","Lambani site 2","Lambani site 2","partly_cloudy","","",3.36,43.3,"06/12/2024 12:36",NA,NA,NA,NA,NA,92.1,7.4,"pH reading indicates the water is suitable for irrigation",71.2,-22.7276611,30.8852506,402.6,4.88,2024-06-12 12:36:00,2024-06-12,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","sunny","","",3.36,43.3,"06/12/2024 13:52",NA,NA,NA,NA,NA,92.1,7.4,"pH reading indicates the water is suitable for irrigation",17.2,-22.727657,30.8853416,436,3.287,2024-06-12 13:52:00,2024-06-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Oli001 US","Olifants","Oli001 US","other","Windy","",NA,169.44,"06/13/2024 08:59",NA,NA,NA,NA,NA,521,8.76,"pH reading indicates the water is NOT suitable for irrigation",13.9,-24.4240249,30.555725,532.8,4.8,2024-06-13 08:59:00,2024-06-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
